Name,RiskTolerance,Price,Loyalty,InnovationTolerance
Tech Startup Founders,0.85,0.55,0.4,0.95
Digital Nomads,0.8,0.6,0.3,0.9
Gen Z Influencers,0.75,0.65,0.25,0.85
Venture Capitalists,0.9,0.3,0.45,0.8
Blockchain Enthusiasts,0.95,0.5,0.35,0.9
Mid-size Tech Companies,0.6,0.65,0.7,0.75
Healthcare Providers,0.4,0.75,0.8,0.5
Retail Chain Managers,0.5,0.85,0.65,0.55
E-commerce Platforms,0.65,0.7,0.6,0.7
SaaS Business Owners,0.7,0.6,0.65,0.75
Banking Executives,0.3,0.4,0.85,0.45
Government Agencies,0.15,0.9,0.9,0.25
Insurance Companies,0.25,0.7,0.85,0.35
Legal Firms,0.35,0.35,0.9,0.3
Manufacturing Conglomerates,0.3,0.8,0.75,0.4
Management Consultants,0.6,0.45,0.65,0.7
Marketing Agencies,0.65,0.6,0.55,0.75
Freelance Developers,0.7,0.75,0.4,0.65
Educational Institutions,0.35,0.85,0.8,0.5
IT Service Providers,0.55,0.7,0.6,0.65
Luxury Consumers,0.6,0.3,0.7,0.65
Budget-Conscious Families,0.25,0.95,0.65,0.3
Millennials,0.65,0.75,0.4,0.75
Retirees,0.2,0.85,0.85,0.25
Small Business Owners,0.55,0.8,0.7,0.45
Biotech Researchers,0.75,0.4,0.55,0.9
Cybersecurity Specialists,0.45,0.55,0.75,0.65
Environmental Activists,0.65,0.8,0.6,0.7
Urban Designers,0.55,0.5,0.65,0.8
Rural Farmers,0.2,0.95,0.9,0.15
Aerospace Engineers,0.6,0.35,0.8,0.75
Art Gallery Owners,0.7,0.25,0.5,0.6
Sports Team Managers,0.5,0.65,0.75,0.4
Food Delivery Services,0.6,0.85,0.3,0.5
Healthcare Startups,0.8,0.45,0.5,0.85
Fashion Influencers,0.7,0.35,0.25,0.75
Logistics Companies,0.4,0.85,0.7,0.45
Ride-sharing Drivers,0.55,0.9,0.2,0.45
Restaurant Franchise Owners,0.4,0.7,0.75,0.35
Social Impact Investors,0.75,0.55,0.7,0.8
Podcast Creators,0.65,0.65,0.35,0.7
Real Estate Developers,0.6,0.4,0.6,0.5
Telehealth Providers,0.65,0.5,0.55,0.8
Traditional Craftspeople,0.15,0.7,0.95,0.2
Construction Firms,0.35,0.75,0.8,0.3
Fitness Trainers,0.55,0.6,0.5,0.65
Remote Work Advocates,0.7,0.55,0.45,0.8
Virtual Reality Developers,0.85,0.4,0.3,0.95
Community Credit Unions,0.25,0.8,0.9,0.35
Sustainable Fashion Brands,0.6,0.7,0.55,0.75
Indie Game Developers,0.8,0.7,0.35,0.85
Music Festival Organizers,0.75,0.65,0.3,0.7
